11/05/2022 at 08:45:25 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/X.htm for OTCBB exchange
11/05/2022 at 08:45:25 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Y.htm for OTCBB exchange
11/05/2022 at 08:45:26 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Z.htm for OTCBB exchange
11/05/2022 at 08:45:26 | INFO | __main__ | Cleaned the symbols and names by removing hyphens and additional letters
11/05/2022 at 08:45:26 | SUCCESS | __main__ | Extracted all the company names, symbols and combined them into a list of tuples:
11/05/2022 at 08:58:44 | INFO | __main__ | Get stock market tickers for NYSE exchange
11/05/2022 at 08:58:45 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/05/2022 at 08:58:46 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/05/2022 at 08:58:47 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/05/2022 at 08:58:53 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/05/2022 at 08:58:54 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/05/2022 at 08:58:55 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/05/2022 at 08:58:55 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/05/2022 at 08:58:56 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/05/2022 at 08:58:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
11/05/2022 at 08:58:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/05/2022 at 08:58:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/05/2022 at 08:58:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/05/2022 at 08:58:59 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/05/2022 at 08:59:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/05/2022 at 08:59:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
11/05/2022 at 08:59:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/P.htm for NYSE exchange
11/05/2022 at 08:59:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Q.htm for NYSE exchange
11/05/2022 at 08:59:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/R.htm for NYSE exchange
11/05/2022 at 08:59:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/S.htm for NYSE exchange
11/05/2022 at 08:59:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/T.htm for NYSE exchange
11/05/2022 at 08:59:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/U.htm for NYSE exchange
11/05/2022 at 08:59:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/V.htm for NYSE exchange
11/05/2022 at 08:59:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/W.htm for NYSE exchange
11/05/2022 at 08:59:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/X.htm for NYSE exchange
11/05/2022 at 08:59:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Y.htm for NYSE exchange
11/05/2022 at 08:59:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Z.htm for NYSE exchange
11/05/2022 at 08:59:53 | INFO | __main__ | Get stock market tickers for NYSE exchange
11/05/2022 at 08:59:54 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/05/2022 at 08:59:55 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/05/2022 at 08:59:56 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/05/2022 at 08:59:56 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/05/2022 at 08:59:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/05/2022 at 08:59:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/05/2022 at 08:59:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/05/2022 at 08:59:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/05/2022 at 08:59:59 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
